episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
2,24,24,4.423782229423523e-09,0.0018281115141386788,14.26195514202118,0.6672593231002489,0.05335622994850079,0.26168123353272676,0.65771484375,0.0,-2.441206197545398e-05,0.002817117415058116,0.16651752529044947,5.1466562648614245,0.0,0.001779482452548109,1.4166847616434097,0.7875232125322024,0.004787361700437032,0.05439453156820188,0.17506890868147215,0.003295272406830918,0.009729393476542706,0.969765359108249
4,24,24,5.122274160385132e-09,-0.00020650316340227923,15.606240193049112,0.6561311582724253,0.0758112749705712,0.3577221781015396,0.5651041666666666,0.0,-0.00023173584243825948,0.002749231682779888,0.2483143067608277,5.074319650729497,0.0,0.002510381760657765,1.4231591721375783,0.6310655251145363,0.006902581187508379,0.0898111982581516,0.17788249688843885,0.010381526158501705,0.01371284865308553,0.9404448517263514
6,24,24,4.656612873077393e-10,-0.0007837184627229968,10.48774137099584,0.644812007745107,0.10980229328076045,0.37602023407816887,0.6678059895833334,0.0,-5.1148017519153655e-05,0.00280681280613256,0.1970744157830874,4.686618268489838,0.0,0.0033608468365855515,1.4955531408389409,0.726900706688563,0.004399223272533466,0.05273437531044086,0.18065485171973705,0.017256201710551977,0.01411865500267595,0.9120108393559102
8,24,24,2.0954757928848267e-09,0.00892432996382316,10.083122233549753,0.7321279173096021,0.11326503784706195,0.37943118438124657,0.6632161463300387,0.0,-6.683962995642408e-05,0.0028842534617676088,0.1970778927206993,4.935994068781535,0.0,0.0037005154493575296,1.4185243099927902,0.6526696706811587,0.009688689698426364,0.11767578233654301,0.18348784558475018,0.024175411866356928,0.014349726455596587,0.8844365191385997
10,24,24,2.7939677238464355e-09,-0.007096899828563134,6.3426138659318285,0.7144887944062551,0.12120400244990985,0.40052809193730354,0.7052408854166666,0.0,0.00012072584233161858,0.0029505321387356767,0.18293836837013563,4.2384926577409106,0.0,0.003629377179701502,1.4458103279272716,0.7789497350653013,0.005375638953410089,0.05709635481859247,0.18644658103585243,0.031289333710446954,0.016624912503175437,0.8576958985908939
12,24,24,4.6566128730773926e-09,-0.006676172643589477,8.854142298301062,0.7608376815915108,0.1046679774299264,0.3933258540928364,0.6629882827401161,0.0,-0.00010666138829643994,0.002714068784068028,0.2673067369808753,4.221155375242233,0.0,0.0034013173717539757,1.429713785648346,0.7627387841542562,0.0064169707232698174,0.07568359406044085,0.18952268610397974,0.038571406776706375,0.016874156310223043,0.8317637711026707
14,24,24,1.862645149230957e-09,0.0005954086082056165,18.38199543952942,0.7315750072399775,0.11013139442851146,0.4056739608446757,0.6021809900800387,0.0,-0.00024251771174021997,0.0029508541823209575,0.2629891460140546,3.8781822621822357,0.0,0.003785493754548952,1.4009767423073451,0.7171337207158407,0.00670348391092072,0.07926432322710752,0.19258679014941057,0.04571229747186104,0.023006739444099367,0.8066156921766136
16,24,24,4.423782229423523e-09,-0.0042491032897184295,11.760249892870585,0.7110413834452629,0.0799450905372699,0.4180803212026755,0.6261718745032946,0.0,-0.0001246978499693796,0.0028618006132698306,0.26805796412130195,3.7885564267635345,0.0,0.004318086537144457,1.45797232290109,0.6670288915435473,0.00791932564364591,0.10345052151630323,0.19579061369101206,0.053062772999207176,0.022863726519669097,0.7822279563860023
18,24,24,1.0011717677116394e-08,-0.008257650702338045,10.408198118209839,0.7427483151356379,0.08402470592409372,0.3802245395878951,0.6447265595197678,0.0,-0.0001465628693040344,0.002910759135071809,0.23641445611914,3.389249404271444,0.0,0.004564681265037507,1.4464384367068608,0.595753808816274,0.008559144892691014,0.11145833351959784,0.19909242975215116,0.060519487131386995,0.02931354831283291,0.7585775750291838
20,24,24,7.2177499532699585e-09,-0.0006867738363022605,11.056553781032562,0.7234442705909411,0.06190802327667674,0.41070189078648883,0.6148763000965118,0.0,-0.0001949430366797363,0.002937784680398181,0.2496063398818175,3.353064854939779,0.0,0.0038848195884687207,1.4256155639886856,0.6636863276362419,0.00980313059214192,0.1305013025800387,0.20242172107100487,0.0679208127160867,0.03243006245854,0.7356422544596414
22,24,24,8.149072527885437e-09,-0.006614832401586075,10.903308808803558,0.7067562118172646,0.0628154962323606,0.35905586183071136,0.5968424479166666,0.0,-0.00027157183770517196,0.0028970788795656213,0.2214599202076594,3.1317719916502633,0.0,0.004027223777181159,1.4589911997318268,0.6790860916177431,0.009045908048089283,0.11998697929084301,0.20577328776319823,0.07525703931848209,0.027342876108984154,0.713400375071256
24,24,24,6.28642737865448e-09,-0.0030293096400176487,10.074926495552063,0.7041955590248108,0.07821183868994315,0.4562411271035671,0.651334635913372,0.0,-7.339713594471202e-05,0.0029550267984935394,0.20473831333220005,2.939866691827774,0.0,0.004446710003927971,1.4723456650972366,0.7139613851904869,0.005914358640438877,0.07724609443296988,0.20931544341146946,0.08288956123093764,0.029110044706612825,0.6918309709189363
26,24,24,9.546056389808655e-09,-0.003948872520898779,13.425435403982798,0.7177564278244972,0.08784044627100229,0.4701987182100614,0.5549479151765505,0.0,-0.00021507467984823356,0.002865263076576715,0.3249684659143289,2.901583284139633,0.0,0.005306754319462925,1.4614109098911285,0.7108422964811325,0.0077667183116621645,0.09638671887417634,0.21306629168490568,0.09084262698888779,0.030266181332990527,0.670913709955411
28,24,24,1.0011717677116394e-08,-0.0022570217261090875,12.791846990585327,0.68068245301644,0.10366395053764184,0.5091396234929562,0.5621744791666666,0.0,-0.00026571229712620453,0.0027893954053676375,0.2889771206925313,3.0038900872071586,0.0,0.006058726420936485,1.4449350933233898,0.7016417408982912,0.010231490018971575,0.13421224057674408,0.21674682075778642,0.09852400484184425,0.03690213438433906,0.6506288748655572
30,24,24,5.587935447692871e-09,-0.0036780263180844486,14.002247293790182,0.6571070974071821,0.10383481563379367,0.46207691729068756,0.6350585942467054,0.0,-9.727924975777569e-05,0.002859894991464292,0.1896846809734901,2.9425999422868094,0.0,0.005327519902493805,1.4621134748061497,0.7026563982168833,0.008351893862709403,0.10644531281044085,0.2202998778472344,0.10582611337304115,0.05226176076879104,0.6309573444801937
32,24,24,5.122274160385132e-09,-0.004149796285976966,11.967986206213633,0.6921588182449341,0.11554122219483058,0.5255174500246843,0.5872070317467054,0.0,-0.00020414496581603694,0.00304974420578219,0.2691638233760993,2.9279253681500754,0.0,0.0059597424503105385,1.4331396867831547,0.7515555024147034,0.012548289116239175,0.16217447941501936,0.22364281055827936,0.1126008468369643,0.04842761795346936,0.6118805757518223
34,24,24,8.149072527885437e-09,-0.00819348629253606,10.570488591988882,0.6747469305992126,0.15912422724068165,0.4413791398207347,0.577115885913372,0.0,-0.00022275889568845741,0.002973022919225817,0.27619436010718346,2.9767841498057046,0.0,0.006904434529133141,1.4710976978143055,0.7039100428422292,0.011458059084058428,0.15247395945092043,0.22697807972629866,0.11926881844798724,0.04838697938248515,0.5933805862753282
36,24,24,9.778887033462524e-09,-0.0028383172660445175,14.607065876324972,0.7013950422406197,0.11794004496186972,0.39479488134384155,0.5985351552565893,0.0,-0.00020351933744677808,0.0029185342718847096,0.2515184674412012,2.9754623671372733,0.0,0.007458153161375473,1.44286547601223,0.6069932853182157,0.01548982680348369,0.17763671868791184,0.23036959456900755,0.12596036214381456,0.05547679588198662,0.5754399373371567
38,24,24,6.28642737865448e-09,-0.007839429948944598,12.993645032246908,0.6910337681571642,0.11998416266093652,0.43125636378924054,0.5091145808498064,0.0,-0.00041262537585377385,0.003004653650956849,0.3258956236143907,2.576801364620527,0.0,0.008408432574166605,1.4527601699034374,0.5906447495023409,0.014588811376597732,0.17903645957509676,0.23381019135316214,0.13266001207133135,0.05007326959942778,0.5580417174769964
40,24,24,4.6566128730773926e-09,-0.008163791615515947,11.941728134950003,0.6962525347868601,0.14694174006581306,0.3931393300493558,0.5537109350164732,0.0,-0.0002822159998080072,0.0030168187513481826,0.3114543668925762,2.690661226709684,0.0,0.008280949861121675,1.5101905067761738,0.5701069558660189,0.011588468352177491,0.14414062661429247,0.23716247081756592,0.1391049592445294,0.06432439542065065,0.5411695265464634
42,24,24,4.889443516731262e-09,0.0001923173937636117,15.390187740325928,0.6612123002608618,0.09444188450773557,0.39028475681940716,0.538118489086628,0.0,-0.0003694298187231955,0.0028933666180819273,0.2798729067047437,2.9288108249505362,0.0,0.008640029584057629,1.4391302714745204,0.5008309297263622,0.015931275993352756,0.1872721357891957,0.240470044935743,0.1453862717996041,0.06603280873969197,0.5248074602497722
44,24,24,9.313225746154785e-09,-0.004480597369062404,9.83817825714747,0.7143358836571375,0.11417895834892988,0.3834105208516121,0.5074869791666666,0.0,-0.0004477937703389519,0.0030450696649495512,0.3141891658306122,2.818689445654551,0.0,0.009974775564235946,1.4425059457619984,0.5335560565193495,0.0119765382745148,0.1419921883692344,0.24365530225137869,0.1513647399842739,0.06546197986851136,0.508940095151809
46,24,24,6.752088665962219e-09,-0.006286640263472994,20.01973243554433,0.7255743046601614,0.1228071798880895,0.3973236009478569,0.5062825530767441,0.0,-0.0004595070786308497,0.00293671494970719,0.38862625882029533,2.655738244454066,0.0,0.010249216012501469,1.4739994257688522,0.5949222147464752,0.01855738861680341,0.1872070332368215,0.24684610031545162,0.15728560710946718,0.06813052234550317,0.4935524741394807
48,24,24,1.0244548320770264e-08,-0.0020054018047327795,21.264986495176952,0.7752138376235962,0.106646329164505,0.4190308414399624,0.5652018214265505,0.0,-0.00034561876115427975,0.002990271634189412,0.31400544941425323,2.507405012845993,0.0,0.0088812405980813,1.4614841143290203,0.6113815059264501,0.020013402778810512,0.20429687574505806,0.2502537736048301,0.1635373036066691,0.07661344731847446,0.4786300923226386
50,24,24,7.2177499532699585e-09,-0.0017594336046992491,16.1066352725029,0.7311578517158827,0.11670567809293668,0.43826665605107945,0.5382161488135656,0.0,-0.0003504405958665302,0.0029848535486962646,0.3114040680229664,2.8772741903861365,0.0,0.00991632901908209,1.4935491234064102,0.599671021103859,0.017062472266843542,0.19130859524011612,0.2536341076095899,0.1696681628624598,0.07082414425288637,0.46415888336127803
52,24,24,9.342329576611519e-09,-0.0028068620789175234,14.1599330107371,0.7511771246790886,0.10356692814578612,0.39681046083569527,0.5607747385899226,0.0,-0.00031509349779904977,0.0028724253546291343,0.306375873585542,2.4862017383178077,0.0,0.012091488228179514,1.4887302418549855,0.5666712572177252,0.018736190241421962,0.2066731775800387,0.2569132248560588,0.17554872234662375,0.07504099219416578,0.45012520620613355
54,24,24,1.5133991837501526e-08,-0.009805481570462385,10.006518999735514,0.7583724757035574,0.10001342184841633,0.3526351215938727,0.5532877619067827,0.0,-0.00030531088668794837,0.0030419695249293,0.2956567853689194,2.4527350266774497,0.0,0.011575285306510827,1.478941097855568,0.46550969903667766,0.011498847360295864,0.13336588628590107,0.26042502621809643,0.1817776629080375,0.07796009319523971,0.43651583224016605
56,24,24,8.847564458847046e-09,-0.009330238991727432,12.896231849988302,0.733790655930837,0.1386501711482803,0.3915739854176839,0.4886718752483527,0.0,-0.00048685438378015533,0.0031186849422131977,0.37605755279461545,2.6605643779039383,0.0,0.012863926899929842,1.5019043137629826,0.5157346415023009,0.012221976581107205,0.12828776085128388,0.26390155404806137,0.18787545276184878,0.09447132144123316,0.4233179328088211
58,24,24,8.149072527885437e-09,-0.0050724919031684594,14.376427034536997,0.7699366708596548,0.09929381745556991,0.42003005743026733,0.48515625049670535,0.0,-0.0005323693694663234,0.0030469266736569502,0.4081443709631761,2.4588661193847656,0.0,0.014639709067220489,1.4901289989550908,0.5986599748333296,0.019941724924137816,0.2105794275800387,0.2671046194930871,0.19343469540278116,0.08153554021070401,0.4105190671273078
60,24,24,5.3551048040390015e-09,-0.008725223781463379,15.661406179269155,0.7262984017531077,0.11831788967053096,0.3464409336447716,0.4686523439983527,0.0,-0.00048541002737086575,0.0031885073403827846,0.3915786085029443,2.2192229131857553,0.0,0.012546300500010451,1.484690636396408,0.5449281806747118,0.01744253748135331,0.171256510540843,0.2704186836878459,0.19912893573443094,0.07113047999640305,0.39810717055349726
62,24,24,7.2177499532699585e-09,-0.0054422158864326775,15.372824231783548,0.7056300764282545,0.07841669023036957,0.33227113882700604,0.4795743686457475,0.037858071426550545,-0.0005310100120065423,0.0032482814761654786,0.3556855358183384,2.6670012921094894,0.0,0.011998902191407979,1.459415818254153,0.49207958579063416,0.015889494291817147,0.17617187571401396,0.2735646491249402,0.20448251316944757,0.06823994886750977,0.3860705432153814
64,24,24,1.1408701539039612e-08,-0.006339545090061923,15.384545922279358,0.6577702239155769,0.08531752415001392,0.34820566947261494,0.5679687534769376,0.0,-0.00024072510859696195,0.0031270990633250526,0.21742730463544527,2.3586191087961197,0.0,0.011799208587035537,1.523782913883527,0.6090082948406538,0.01853886738535948,0.20670572916666666,0.2767191641032696,0.20979957096278667,0.08856074667225282,0.37439783898238116
